




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	Client Text Box Input (Mus musculus)
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Mus musculus - REFLIST (21988)	Client Text Box Input (15)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
glomerular epithelium development (GO:0072010)	16	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of protein glycosylation (GO:0060049)	15	0	.01	-	 < 0.01	1.00E00	1.00E00
cardiac muscle contraction (GO:0060048)	75	0	.05	-	 < 0.01	1.00E00	1.00E00
VEGF-activated neuropilin signaling pathway involved in axon guidance (GO:1902378)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation by host of viral genome replication (GO:0044829)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
heart contraction (GO:0060047)	88	0	.06	-	 < 0.01	1.00E00	1.00E00
negative regulation by host of viral genome replication (GO:0044828)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of acrosome reaction (GO:0060046)	16	0	.01	-	 < 0.01	1.00E00	1.00E00
modulation by host of viral genome replication (GO:0044827)	16	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of cardiac muscle cell proliferation (GO:0060045)	28	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of cardiac muscle cell proliferation (GO:0060044)	18	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of rRNA catabolic process (GO:1902374)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of cardiac muscle cell proliferation (GO:0060043)	49	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of mRNA catabolic process (GO:1902373)	61	0	.04	-	 < 0.01	1.00E00	1.00E00
retina morphogenesis in camera-type eye (GO:0060042)	75	0	.05	-	 < 0.01	1.00E00	1.00E00
retina development in camera-type eye (GO:0060041)	159	0	.11	-	 < 0.01	1.00E00	1.00E00
negative regulation of tRNA catabolic process (GO:1902371)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
retinal bipolar neuron differentiation (GO:0060040)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of tRNA catabolic process (GO:1902370)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
meiotic telomere tethering at nuclear periphery (GO:0044821)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
C-X-C chemokine receptor CXCR4 signaling pathway (GO:0038159)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of myeloid dendritic cell chemotaxis (GO:2000529)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
granulocyte colony-stimulating factor signaling pathway (GO:0038158)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of myeloid dendritic cell chemotaxis (GO:2000527)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
interleukin-3-mediated signaling pathway (GO:0038156)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
nephron epithelium development (GO:0072009)	96	0	.07	-	 < 0.01	1.00E00	1.00E00
positive regulation of glycoprotein biosynthetic process involved in immunological synapse formation (GO:2000526)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glomerular mesangial cell differentiation (GO:0072008)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of T cell costimulation (GO:2000525)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
mesangial cell differentiation (GO:0072007)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of T cell costimulation (GO:2000524)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
nephron development (GO:0072006)	129	0	.09	-	 < 0.01	1.00E00	1.00E00
regulation of T cell costimulation (GO:2000523)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of immunological synapse formation (GO:2000522)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
kidney field specification (GO:0072004)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of immunological synapse formation (GO:2000521)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
kidney rudiment formation (GO:0072003)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of immunological synapse formation (GO:2000520)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
renal system development (GO:0072001)	315	0	.21	-	 < 0.01	1.00E00	1.00E00
pericardium development (GO:0060039)	28	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of RNA catabolic process (GO:1902369)	73	0	.05	-	 < 0.01	1.00E00	1.00E00
cardiac muscle cell proliferation (GO:0060038)	17	0	.01	-	 < 0.01	1.00E00	1.00E00
mitotic G1/S transition checkpoint signaling (GO:0044819)	24	0	.02	-	 < 0.01	1.00E00	1.00E00
modulation by host of symbiont molecular function (GO:0052428)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
pharyngeal system development (GO:0060037)	28	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of Notch signaling pathway involved in somitogenesis (GO:1902367)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
mitotic G2/M transition checkpoint (GO:0044818)	48	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of Notch signaling pathway involved in somitogenesis (GO:1902366)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
notochord cell development (GO:0060035)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of protein localization to spindle pole body (GO:1902365)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
notochord cell differentiation (GO:0060034)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
anatomical structure regression (GO:0060033)	19	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of protein localization to spindle pole body (GO:1902363)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
notochord regression (GO:0060032)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
melanocyte apoptotic process (GO:1902362)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
modulation by host of symbiont catalytic activity (GO:0052422)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
mediolateral intercalation (GO:0060031)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of cellular pH reduction (GO:0032849)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of cellular pH reduction (GO:0032848)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of cellular pH reduction (GO:0032847)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of T-helper 1 cell activation (GO:2000518)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of T-helper 1 cell activation (GO:2000517)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
chemokine (C-X-C motif) ligand 12 signaling pathway (GO:0038146)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of CD4-positive, alpha-beta T cell activation (GO:2000516)	34	0	.02	-	 < 0.01	1.00E00	1.00E00
macrophage colony-stimulating factor signaling pathway (GO:0038145)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of CD4-positive, alpha-beta T cell activation (GO:2000515)	32	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of CD4-positive, alpha-beta T cell activation (GO:2000514)	63	0	.04	-	 < 0.01	1.00E00	1.00E00
positive regulation of granzyme A production (GO:2000513)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of granzyme A production (GO:2000511)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of dendritic cell chemotaxis (GO:2000510)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
convergent extension involved in organogenesis (GO:0060029)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
metabolism by host of substance in symbiont (GO:0052419)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
convergent extension involved in axis elongation (GO:0060028)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
sulfate transmembrane transport (GO:1902358)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
metabolism by organism of protein in other organism involved in symbiotic interaction (GO:0052418)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
convergent extension involved in gastrulation (GO:0060027)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
metabolism by host of symbiont protein (GO:0052417)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
convergent extension (GO:0060026)	15	0	.01	-	 < 0.01	1.00E00	1.00E00
metabolism by host of symbiont macromolecule (GO:0052416)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of synaptic activity (GO:0060025)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
G-quadruplex DNA unwinding (GO:0044806)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
rhythmic synaptic transmission (GO:0060024)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
late nucleophagy (GO:0044805)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
soft palate development (GO:0060023)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
autophagy of nucleus (GO:0044804)	16	0	.01	-	 < 0.01	1.00E00	1.00E00
hard palate development (GO:0060022)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphagen metabolic process (GO:0006599)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
multi-organism membrane organization (GO:0044803)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
roof of mouth development (GO:0060021)	101	0	.07	-	 < 0.01	1.00E00	1.00E00
polyamine catabolic process (GO:0006598)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
metabolism by organism of cell wall chitin in other organism involved in symbiotic interaction (GO:0052411)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
Bergmann glial cell differentiation (GO:0060020)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular response to chloroquine (GO:1902350)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
spermine biosynthetic process (GO:0006597)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
metabolism by host of symbiont cell wall chitin (GO:0052410)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
polyamine biosynthetic process (GO:0006596)	14	0	.01	-	 < 0.01	1.00E00	1.00E00
multi-organism membrane fusion (GO:0044800)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
polyamine metabolic process (GO:0006595)	19	0	.01	-	 < 0.01	1.00E00	1.00E00
ornithine catabolic process (GO:0006593)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ornithine biosynthetic process (GO:0006592)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glomerular basement membrane development (GO:0032836)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
ornithine metabolic process (GO:0006591)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
glomerulus development (GO:0032835)	49	0	.03	-	 < 0.01	1.00E00	1.00E00
thyroid hormone generation (GO:0006590)	13	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation involved in immune response (GO:0032834)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of dendritic cell chemotaxis (GO:2000509)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation involved in immune response (GO:0032832)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of dendritic cell chemotaxis (GO:2000508)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation (GO:0032831)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of blood vessel remodeling (GO:2000504)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
ERBB2-ERBB3 signaling pathway (GO:0038133)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of natural killer cell chemotaxis (GO:2000503)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of natural killer cell chemotaxis (GO:2000502)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of natural killer cell chemotaxis (GO:2000501)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
radial glial cell differentiation (GO:0060019)	14	0	.01	-	 < 0.01	1.00E00	1.00E00
response to chloroquine (GO:1902349)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
astrocyte fate commitment (GO:0060018)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
parathyroid gland development (GO:0060017)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
metabolism by organism of carbohydrate in other organism involved in symbiotic interaction (GO:0052407)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
granulosa cell development (GO:0060016)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
metabolism by host of symbiont carbohydrate (GO:0052406)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation by host of symbiont molecular function (GO:0052405)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
granulosa cell differentiation (GO:0060014)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
righting reflex (GO:0060013)	12	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation by host of symbiont catalytic activity (GO:0052403)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
synaptic transmission, glycinergic (GO:0060012)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
octopamine biosynthetic process (GO:0006589)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
Sertoli cell proliferation (GO:0060011)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
Sertoli cell fate commitment (GO:0060010)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of chromosome condensation (GO:1902340)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
serotonin biosynthetic process from tryptophan (GO:0006587)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
indolalkylamine metabolic process (GO:0006586)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
dopamine biosynthetic process from tyrosine (GO:0006585)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation (GO:0032829)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
catecholamine metabolic process (GO:0006584)	44	0	.03	-	 < 0.01	1.00E00	1.00E00
melanin biosynthetic process from tyrosine (GO:0006583)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of natural killer cell differentiation involved in immune response (GO:0032827)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
melanin metabolic process (GO:0006582)	16	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of natural killer cell differentiation involved in immune response (GO:0032826)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
acetylcholine catabolic process (GO:0006581)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of natural killer cell differentiation (GO:0032825)	12	0	.01	-	 < 0.01	1.00E00	1.00E00
ethanolamine metabolic process (GO:0006580)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of natural killer cell differentiation (GO:0032824)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of natural killer cell differentiation (GO:0032823)	19	0	.01	-	 < 0.01	1.00E00	1.00E00
ERBB3 signaling pathway (GO:0038129)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ERBB2 signaling pathway (GO:0038128)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
ERBB signaling pathway (GO:0038127)	48	0	.03	-	 < 0.01	1.00E00	1.00E00
toll-like receptor TLR1:TLR2 signaling pathway (GO:0038123)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of apoptotic process involved in morphogenesis (GO:1902339)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of apoptotic process involved in morphogenesis (GO:1902338)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
linear vestibuloocular reflex (GO:0060007)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of apoptotic process involved in morphogenesis (GO:1902337)	16	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of retinal ganglion cell axon guidance (GO:1902336)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
vestibular reflex (GO:0060005)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
reflex (GO:0060004)	26	0	.02	-	 < 0.01	1.00E00	1.00E00
copper ion export (GO:0060003)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
amino-acid betaine catabolic process (GO:0006579)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
amino-acid betaine biosynthetic process (GO:0006578)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
amino-acid betaine metabolic process (GO:0006577)	15	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular biogenic amine metabolic process (GO:0006576)	84	0	.06	-	 < 0.01	1.00E00	1.00E00
cellular modified amino acid metabolic process (GO:0006575)	172	0	.12	-	 < 0.01	1.00E00	1.00E00
positive regulation of natural killer cell proliferation (GO:0032819)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
valine catabolic process (GO:0006574)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
valine metabolic process (GO:0006573)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of natural killer cell proliferation (GO:0032817)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
tyrosine catabolic process (GO:0006572)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of natural killer cell activation (GO:0032816)	29	0	.02	-	 < 0.01	1.00E00	1.00E00
tyrosine biosynthetic process (GO:0006571)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of natural killer cell activation (GO:0032815)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
tyrosine metabolic process (GO:0006570)	13	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of natural killer cell activation (GO:0032814)	46	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of epinephrine secretion (GO:0032812)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of epinephrine secretion (GO:0032811)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
chemokine (C-C motif) ligand 21 signaling pathway (GO:0038116)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
interleukin-8-mediated signaling pathway (GO:0038112)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
interleukin-2-mediated signaling pathway (GO:0038110)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
otic vesicle development (GO:0071599)	14	0	.01	-	 < 0.01	1.00E00	1.00E00
ubiquitin-dependent protein catabolic process via the N-end rule pathway (GO:0071596)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
thymocyte aggregation (GO:0071594)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
lymphocyte aggregation (GO:0071593)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
tryptophan catabolic process (GO:0006569)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
tryptophan metabolic process (GO:0006568)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
threonine catabolic process (GO:0006567)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
threonine metabolic process (GO:0006566)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
L-serine catabolic process (GO:0006565)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
L-serine biosynthetic process (GO:0006564)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
lacrimal gland development (GO:0032808)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
L-serine metabolic process (GO:0006563)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
proline catabolic process (GO:0006562)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
proline biosynthetic process (GO:0006561)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of low-density lipoprotein particle receptor catabolic process (GO:0032805)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
proline metabolic process (GO:0006560)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of low-density lipoprotein particle receptor catabolic process (GO:0032804)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of low-density lipoprotein particle receptor catabolic process (GO:0032803)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
Kit signaling pathway (GO:0038109)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
low-density lipoprotein particle receptor catabolic process (GO:0032802)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of appetite by leptin-mediated signaling pathway (GO:0038108)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
nodal signaling pathway involved in determination of left/right asymmetry (GO:0038107)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
sequestering of nodal from receptor via nodal binding (GO:0038101)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
DNA strand elongation involved in nuclear cell cycle DNA replication (GO:1902319)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
CAAX-box protein processing (GO:0071586)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
detoxification of cadmium ion (GO:0071585)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
nuclear DNA replication termination (GO:1902317)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of zinc ion transmembrane import (GO:0071584)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of zinc ion transmembrane transport (GO:0071583)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
nuclear cell cycle DNA replication initiation (GO:1902315)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of zinc ion transport (GO:0071582)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of zinc ion transmembrane import (GO:0071581)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of zinc ion transmembrane transport (GO:0071580)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
L-phenylalanine catabolic process (GO:0006559)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of copper ion transmembrane transport (GO:1902311)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
L-phenylalanine metabolic process (GO:0006558)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of peptidyl-serine dephosphorylation (GO:1902310)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
S-adenosylmethionine biosynthetic process (GO:0006556)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
methionine metabolic process (GO:0006555)	14	0	.01	-	 < 0.01	1.00E00	1.00E00
lysine catabolic process (GO:0006554)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
lysine metabolic process (GO:0006553)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
leucine catabolic process (GO:0006552)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
leucine metabolic process (GO:0006551)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
isoleucine catabolic process (GO:0006550)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
hepatocyte cell migration (GO:0002194)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
IRES-dependent translational initiation of linear mRNA (GO:0002192)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
cap-dependent translational initiation (GO:0002191)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cap-independent translational initiation (GO:0002190)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of zinc ion transport (GO:0071579)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
zinc ion import across plasma membrane (GO:0071578)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
zinc ion transmembrane transport (GO:0071577)	22	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of peptidyl-serine dephosphorylation (GO:1902309)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of peptidyl-serine dephosphorylation (GO:1902308)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of sodium ion transmembrane transport (GO:1902307)	23	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of sodium ion transmembrane transport (GO:1902306)	14	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of sodium ion transmembrane transport (GO:1902305)	66	0	.05	-	 < 0.01	1.00E00	1.00E00
isoleucine metabolic process (GO:0006549)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
histidine catabolic process (GO:0006548)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
histidine metabolic process (GO:0006547)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
glycine catabolic process (GO:0006546)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
glycine biosynthetic process (GO:0006545)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
glycine metabolic process (GO:0006544)	14	0	.01	-	 < 0.01	1.00E00	1.00E00
glutamine catabolic process (GO:0006543)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
glutamine biosynthetic process (GO:0006542)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glutamine metabolic process (GO:0006541)	19	0	.01	-	 < 0.01	1.00E00	1.00E00
glutamate decarboxylation to succinate (GO:0006540)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
translation reinitiation (GO:0002188)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
acetylcholine receptor signaling pathway (GO:0095500)	32	0	.02	-	 < 0.01	1.00E00	1.00E00
cytoplasmic translational termination (GO:0002184)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
cytoplasmic translational initiation (GO:0002183)	21	0	.01	-	 < 0.01	1.00E00	1.00E00
cytoplasmic translational elongation (GO:0002182)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cytoplasmic translation (GO:0002181)	66	0	.05	-	 < 0.01	1.00E00	1.00E00
protein ufmylation (GO:0071569)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
cellular response to transforming growth factor beta stimulus (GO:0071560)	121	0	.08	-	 < 0.01	1.00E00	1.00E00
glutamate catabolic process via 2-oxoglutarate (GO:0006539)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glutamate catabolic process (GO:0006538)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
glutamate biosynthetic process (GO:0006537)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of attachment of spindle microtubules to kinetochore (GO:0051988)	13	0	.01	-	 < 0.01	1.00E00	1.00E00
glutamate metabolic process (GO:0006536)	24	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of attachment of spindle microtubules to kinetochore (GO:0051987)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
cysteine biosynthetic process from serine (GO:0006535)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cysteine metabolic process (GO:0006534)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of chromosome segregation (GO:0051985)	32	0	.02	-	 < 0.01	1.00E00	1.00E00
aspartate catabolic process (GO:0006533)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of chromosome segregation (GO:0051984)	16	0	.01	-	 < 0.01	1.00E00	1.00E00
RNA acetylation (GO:1990884)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
aspartate biosynthetic process (GO:0006532)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of chromosome segregation (GO:0051983)	85	0	.06	-	 < 0.01	1.00E00	1.00E00
aspartate metabolic process (GO:0006531)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
rRNA acetylation (GO:1990882)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
asparagine catabolic process (GO:0006530)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
male germ cell proliferation (GO:0002176)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
protein localization to paranode region of axon (GO:0002175)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
response to transforming growth factor beta (GO:0071559)	126	0	.09	-	 < 0.01	1.00E00	1.00E00
histone H3-K27 demethylation (GO:0071557)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
